OrderID,OrderDate,OrderTime,Hour,StoreID,ProductID,Quantity,UnitPrice,Discount,Revenue,Cost,Profit,PaymentMethod,CustomerType
100024,2024-01-01,16:58:00,16,STR_004,PRD_0041,1,7.05,0.05,6.70,3.83,2.87,Credit Card,Returning
100025,2024-01-01,10:09:00,10,STR_003,PRD_0029,2,6.22,0.00,12.44,8.21,4.23,Credit Card,Returning
100026,2024-01-01,19:35:00,19,STR_001,PRD_0031,1,5.95,0.00,5.95,3.58,2.37,Debit Card,New
100027,2024-01-01,16:52:00,16,STR_006,PRD_0050,2,3.71,0.00,7.42,5.00,2.42,Debit Card,Returning
100028,2024-01-01,15:37:00,15,STR_002,PRD_0046,4,7.10,0.00,28.40,18.69,9.71,Cash,Returning
100029,2024-01-01,14:33:00,14,STR_005,PRD_0038,3,3.87,0.10,10.45,6.48,3.97,Cash,Returning
100030,2024-01-01,10:29:00,10,STR_004,PRD_0047,4,5.80,0.00,23.20,12.98,10.22,Mobile Wallet,Returning
100031,2024-01-01,21:06:00,21,STR_004,PRD_0056,3,9.08,0.00,27.24,15.81,11.43,Credit Card,New
100032,2024-01-01,20:52:00,20,STR_006,PRD_0017,4,6.18,0.00,24.72,16.53,8.19,Mobile Wallet,Returning
100033,2024-01-01,16:18:00,16,STR_004,PRD_0051,2,3.70,0.00,7.40,4.92,2.48,Debit Card,New
100034,2024-01-01,18:04:00,18,STR_005,PRD_0035,4,3.92,0.10,14.11,7.98,6.13,Debit Card,New
100035,2024-01-01,19:15:00,19,STR_004,PRD_0020,2,6.10,0.00,12.20,7.28,4.92,Credit Card,New
100036,2024-01-01,12:40:00,12,STR_006,PRD_0040,2,5.83,0.05,11.08,6.11,4.97,Cash,Returning
100037,2024-01-01,14:37:00,14,STR_002,PRD_0034,3,3.54,0.00,10.62,6.56,4.06,Cash,Returning
100038,2024-01-01,10:02:00,10,STR_001,PRD_0032,2,6.15,0.10,11.07,6.27,4.80,Credit Card,Returning
100039,2024-01-01,08:33:00,8,STR_004,PRD_0049,2,4.98,0.00,9.96,6.80,3.16,Credit Card,New
100040,2024-01-01,09:29:00,9,STR_002,PRD_0004,1,4.71,0.00,4.71,3.10,1.61,Mobile Wallet,Returning
100041,2024-01-01,17:11:00,17,STR_002,PRD_0035,3,4.13,0.05,11.77,6.55,5.22,Credit Card,Returning
100042,2024-01-01,10:10:00,10,STR_004,PRD_0023,2,4.85,0.00,9.70,6.11,3.59,Credit Card,Returning
100043,2024-01-01,09:07:00,9,STR_002,PRD_0028,3,5.38,0.10,14.53,9.87,4.66,Mobile Wallet,New
100044,2024-01-01,19:16:00,19,STR_004,PRD_0030,4,6.19,0.00,24.76,15.70,9.06,Debit Card,New
100045,2024-01-01,10:50:00,10,STR_005,PRD_0053,3,5.98,0.00,17.94,10.90,7.04,Credit Card,Returning
100046,2024-01-01,11:54:00,11,STR_005,PRD_0027,1,8.93,0.00,8.93,4.93,4.00,Credit Card,Returning
100047,2024-01-01,18:40:00,18,STR_006,PRD_0044,1,5.18,0.00,5.18,3.08,2.10,Credit Card,Returning
100048,2024-01-02,18:32:00,18,STR_001,PRD_0052,3,6.54,0.00,19.62,11.28,8.34,Credit Card,Returning
100049,2024-01-02,11:25:00,11,STR_001,PRD_0052,2,5.58,0.00,11.16,7.18,3.98,Credit Card,Returning
100050,2024-01-02,16:56:00,16,STR_004,PRD_0017,3,6.39,0.05,18.21,11.30,6.91,Mobile Wallet,New
100051,2024-01-02,18:13:00,18,STR_004,PRD_0010,2,8.21,0.00,16.42,9.65,6.77,Cash,New
100052,2024-01-02,10:25:00,10,STR_002,PRD_0034,3,3.96,0.00,11.88,6.78,5.10,Credit Card,Returning
100053,2024-01-02,16:20:00,16,STR_001,PRD_0014,1,5.39,0.00,5.39,3.27,2.12,Credit Card,Returning
100054,2024-01-02,09:47:00,9,STR_001,PRD_0018,3,6.76,0.05,19.27,11.59,7.68,Credit Card,Returning
100055,2024-01-02,17:01:00,17,STR_004,PRD_0006,2,3.71,0.05,7.05,4.51,2.54,Credit Card,Returning
100056,2024-01-02,08:49:00,8,STR_005,PRD_0042,1,6.95,0.00,6.95,3.93,3.02,Credit Card,Returning
100057,2024-01-02,15:50:00,15,STR_005,PRD_0056,3,7.98,0.00,23.94,16.64,7.30,Credit Card,Returning
100058,2024-01-02,18:01:00,18,STR_004,PRD_0037,3,4.53,0.10,12.23,8.22,4.01,Debit Card,New
100059,2024-01-02,08:19:00,8,STR_005,PRD_0044,3,5.09,0.00,15.27,9.60,5.67,Credit Card,New
100060,2024-01-02,10:11:00,10,STR_006,PRD_0008,3,5.88,0.00,17.64,9.75,7.89,Credit Card,New
100061,2024-01-02,07:51:00,7,STR_006,PRD_0004,1,3.56,0.10,3.20,2.14,1.06,Mobile Wallet,New
100062,2024-01-02,08:55:00,8,STR_005,PRD_0001,4,5.46,0.00,21.84,13.78,8.06,Debit Card,Returning
100063,2024-01-02,12:11:00,12,STR_004,PRD_0025,3,9.57,0.00,28.71,18.42,10.29,Cash,New
100064,2024-01-02,19:30:00,19,STR_004,PRD_0057,3,9.08,0.00,27.24,16.01,11.23,Debit Card,Returning
100065,2024-01-02,15:06:00,15,STR_002,PRD_0047,2,5.54,0.00,11.08,6.12,4.96,Credit Card,Returning
100066,2024-01-02,08:41:00,8,STR_001,PRD_0044,2,4.83,0.00,9.66,5.77,3.89,Credit Card,Returning
100067,2024-01-02,12:01:00,12,STR_004,PRD_0049,2,4.67,0.05,8.87,6.18,2.69,Credit Card,Returning
100068,2024-01-02,15:24:00,15,STR_005,PRD_0005,2,3.34,0.05,6.35,4.43,1.92,Credit Card,Returning
100069,2024-01-02,17:12:00,17,STR_005,PRD_0032,4,5.81,0.05,22.08,14.76,7.32,Credit Card,New
100070,2024-01-02,09:02:00,9,STR_002,PRD_0011,1,8.48,0.00,8.48,5.27,3.21,Cash,Returning
100071,2024-01-02,17:50:00,17,STR_005,PRD_0002,1,6.92,0.00,6.92,4.40,2.52,Cash,Returning
100072,2024-01-02,21:39:00,21,STR_004,PRD_0049,2,3.91,0.10,7.04,3.91,3.13,Credit Card,New
100073,2024-01-02,13:07:00,13,STR_004,PRD_0030,4,6.18,0.05,23.48,13.51,9.97,Credit Card,New
100074,2024-01-02,08:33:00,8,STR_004,PRD_0001,3,6.52,0.05,18.58,11.04,7.54,Credit Card,New
100075,2024-01-02,09:30:00,9,STR_003,PRD_0050,3,3.15,0.00,9.45,5.68,3.77,Credit Card,Returning
100076,2024-01-02,09:56:00,9,STR_003,PRD_0030,1,5.25,0.00,5.25,3.54,1.71,Debit Card,Returning
100077,2024-01-02,08:41:00,8,STR_004,PRD_0042,2,5.31,0.05,10.09,7.04,3.05,Credit Card,Returning
100078,2024-01-02,11:38:00,11,STR_006,PRD_0006,3,4.53,0.00,13.59,8.81,4.78,Credit Card,New
100079,2024-01-02,16:31:00,16,STR_002,PRD_0003,2,6.42,0.00,12.84,7.87,4.97,Credit Card,New
100080,2024-01-02,08:00:00,8,STR_003,PRD_0035,4,4.51,0.00,18.04,11.14,6.90,Cash,New
100081,2024-01-02,18:45:00,18,STR_006,PRD_0051,2,3.67,0.00,7.34,4.55,2.79,Credit Card,Returning
100082,2024-01-02,13:36:00,13,STR_001,PRD_0003,4,6.63,0.00,26.52,15.92,10.60,Mobile Wallet,New
100083,2024-01-02,08:41:00,8,STR_004,PRD_0017,2,6.02,0.00,12.04,7.18,4.86,Credit Card,New
100084,2024-01-02,18:37:00,18,STR_003,PRD_0053,4,6.99,0.00,27.96,16.69,11.27,Cash,Returning
100085,2024-01-02,11:54:00,11,STR_004,PRD_0050,1,4.11,0.00,4.11,2.29,1.82,Credit Card,Returning
100086,2024-01-02,20:07:00,20,STR_005,PRD_0055,4,9.13,0.00,36.52,25.23,11.29,Debit Card,Returning
100087,2024-01-02,10:59:00,10,STR_004,PRD_0040,4,6.72,0.10,24.19,16.27,7.92,Credit Card,New
100088,2024-01-02,16:51:00,16,STR_004,PRD_0034,4,3.95,0.00,15.80,9.95,5.85,Debit Card,Returning
100089,2024-01-02,10:56:00,10,STR_003,PRD_0023,4,5.39,0.00,21.56,13.19,8.37,Debit Card,Returning
100090,2024-01-03,15:42:00,15,STR_004,PRD_0047,4,5.93,0.05,22.53,15.57,6.96,Credit Card,New
100091,2024-01-03,15:51:00,15,STR_004,PRD_0017,4,6.16,0.00,24.64,16.58,8.06,Debit Card,Returning
100092,2024-01-03,16:47:00,16,STR_002,PRD_0013,2,5.40,0.00,10.80,6.06,4.74,Credit Card,Returning
100093,2024-01-03,13:28:00,13,STR_003,PRD_0035,1,4.97,0.00,4.97,2.75,2.22,Credit Card,New
100094,2024-01-03,18:03:00,18,STR_005,PRD_0035,3,4.62,0.05,13.17,8.11,5.06,Cash,Returning
100095,2024-01-03,15:23:00,15,STR_004,PRD_0017,1,5.66,0.00,5.66,3.18,2.48,Credit Card,Returning
100096,2024-01-03,11:07:00,11,STR_004,PRD_0039,2,4.11,0.00,8.22,5.23,2.99,Debit Card,Returning
100097,2024-01-03,15:29:00,15,STR_006,PRD_0053,3,6.91,0.05,19.69,12.90,6.79,Credit Card,Returning
100098,2024-01-03,15:31:00,15,STR_004,PRD_0052,2,6.41,0.00,12.82,8.04,4.78,Credit Card,Returning
100099,2024-01-03,16:52:00,16,STR_002,PRD_0036,4,4.53,0.05,17.21,9.64,7.57,Debit Card,Returning
100100,2024-01-03,15:45:00,15,STR_003,PRD_0057,2,8.01,0.00,16.02,9.88,6.14,Credit Card,New
100101,2024-01-03,15:24:00,15,STR_006,PRD_0053,3,6.67,0.00,20.01,13.02,6.99,Mobile Wallet,New
100102,2024-01-03,18:49:00,18,STR_006,PRD_0006,4,3.47,0.00,13.88,9.51,4.37,Credit Card,Returning
100103,2024-01-03,17:01:00,17,STR_002,PRD_0001,4,6.21,0.00,24.84,15.76,9.08,Credit Card,New
100104,2024-01-03,16:53:00,16,STR_001,PRD_0031,1,5.20,0.00,5.20,3.10,2.10,Debit Card,Returning
100105,2024-01-03,21:24:00,21,STR_006,PRD_0028,2,5.27,0.00,10.54,6.44,4.10,Mobile Wallet,New
100106,2024-01-03,06:53:00,6,STR_002,PRD_0001,2,6.26,0.00,12.52,7.19,5.33,Credit Card,Returning
100107,2024-01-03,15:06:00,15,STR_004,PRD_0009,3,4.25,0.00,12.75,8.67,4.08,Credit Card,New
100108,2024-01-03,16:38:00,16,STR_005,PRD_0042,2,6.58,0.00,13.16,9.21,3.95,Credit Card,Returning
100109,2024-01-03,14:30:00,14,STR_005,PRD_0040,1,5.85,0.10,5.26,3.10,2.16,Credit Card,Returning
100110,2024-01-03,11:25:00,11,STR_002,PRD_0036,2,4.83,0.00,9.66,6.67,2.99,Debit Card,New
100111,2024-01-03,10:24:00,10,STR_006,PRD_0017,3,5.48,0.10,14.80,9.60,5.20,Credit Card,New
100112,2024-01-03,08:14:00,8,STR_002,PRD_0009,4,5.78,0.05,21.96,13.73,8.23,Credit Card,Returning
100113,2024-01-03,12:51:00,12,STR_004,PRD_0052,2,5.29,0.00,10.58,5.97,4.61,Credit Card,Returning
100114,2024-01-03,19:54:00,19,STR_006,PRD_0053,1,6.81,0.00,6.81,4.23,2.58,Credit Card,Returning
100115,2024-01-03,11:07:00,11,STR_002,PRD_0017,2,5.77,0.00,11.54,6.60,4.94,Credit Card,Returning
100116,2024-01-03,21:29:00,21,STR_002,PRD_0001,4,5.94,0.00,23.76,15.66,8.10,Credit Card,Returning
100117,2024-01-03,17:00:00,17,STR_005,PRD_0041,4,6.33,0.00,25.32,15.34,9.98,Debit Card,New
100118,2024-01-03,17:39:00,17,STR_003,PRD_0016,1,5.96,0.05,5.66,3.25,2.41,Debit Card,New
100119,2024-01-03,09:03:00,9,STR_002,PRD_0046,2,6.33,0.00,12.66,7.61,5.05,Debit Card,New
100120,2024-01-03,08:04:00,8,STR_003,PRD_0026,1,8.74,0.00,8.74,4.87,3.87,Credit Card,New
100121,2024-01-03,15:21:00,15,STR_004,PRD_0020,4,4.77,0.00,19.08,13.31,5.77,Mobile Wallet,Returning
100122,2024-01-03,12:09:00,12,STR_003,PRD_0036,1,4.72,0.00,4.72,3.28,1.44,Mobile Wallet,Returning
100123,2024-01-03,20:48:00,20,STR_002,PRD_0054,3,5.43,0.05,15.48,10.13,5.35,Credit Card,Returning
100124,2024-01-03,17:56:00,17,STR_005,PRD_0023,3,6.80,0.00,20.40,12.52,7.88,Credit Card,Returning
100125,2024-01-03,14:15:00,14,STR_002,PRD_0056,3,9.58,0.00,28.74,17.28,11.46,Debit Card,Returning
100126,2024-01-03,11:23:00,11,STR_002,PRD_0028,3,6.87,0.00,20.61,12.17,8.44,Credit Card,Returning
100127,2024-01-03,06:12:00,6,STR_004,PRD_0008,3,5.62,0.00,16.86,11.34,5.52,Credit Card,New
100128,2024-01-03,09:20:00,9,STR_004,PRD_0029,3,6.61,0.00,19.83,12.58,7.25,Debit Card,New
100129,2024-01-03,09:11:00,9,STR_004,PRD_0053,4,6.26,0.05,23.79,15.55,8.24,Credit Card,Returning
100130,2024-01-03,16:01:00,16,STR_001,PRD_0056,2,8.76,0.00,17.52,11.08,6.44,Debit Card,New
100131,2024-01-03,21:09:00,21,STR_002,PRD_0029,1,6.20,0.00,6.20,3.75,2.45,Debit Card,Returning
100132,2024-01-03,09:35:00,9,STR_004,PRD_0029,3,5.58,0.00,16.74,10.82,5.92,Debit Card,Returning
100133,2024-01-03,10:23:00,10,STR_006,PRD_0040,2,6.32,0.10,11.38,7.42,3.96,Cash,New
100134,2024-01-04,16:47:00,16,STR_006,PRD_0040,3,6.76,0.05,19.27,13.19,6.08,Credit Card,New
100135,2024-01-04,12:18:00,12,STR_005,PRD_0023,1,6.79,0.05,6.45,3.99,2.46,Cash,New
100136,2024-01-04,17:51:00,17,STR_001,PRD_0052,3,6.57,0.00,19.71,13.60,6.11,Credit Card,Returning
100137,2024-01-04,15:21:00,15,STR_005,PRD_0041,1,6.39,0.05,6.07,3.91,2.16,Cash,Returning
100138,2024-01-04,15:20:00,15,STR_004,PRD_0030,1,5.21,0.00,5.21,2.93,2.28,Credit Card,Returning
100139,2024-01-04,19:10:00,19,STR_005,PRD_0012,3,9.52,0.00,28.56,18.11,10.45,Credit Card,Returning
100140,2024-01-04,09:15:00,9,STR_004,PRD_0018,1,6.53,0.00,6.53,4.05,2.48,Debit Card,Returning
100141,2024-01-04,11:47:00,11,STR_005,PRD_0052,2,6.10,0.10,10.98,7.43,3.55,Credit Card,Returning
100142,2024-01-04,08:32:00,8,STR_002,PRD_0003,1,6.17,0.00,6.17,4.31,1.86,Debit Card,New
100143,2024-01-04,19:41:00,19,STR_003,PRD_0047,2,5.72,0.05,10.87,6.22,4.65,Credit Card,New
100144,2024-01-04,08:02:00,8,STR_004,PRD_0008,2,5.09,0.00,10.18,6.71,3.47,Credit Card,Returning
100145,2024-01-04,08:08:00,8,STR_002,PRD_0022,4,6.39,0.00,25.56,15.05,10.51,Credit Card,Returning
100146,2024-01-04,15:31:00,15,STR_006,PRD_0050,4,3.34,0.00,13.36,7.83,5.53,Mobile Wallet,Returning
100147,2024-01-04,17:51:00,17,STR_004,PRD_0047,2,5.20,0.00,10.40,7.12,3.28,Debit Card,New
100148,2024-01-04,18:43:00,18,STR_001,PRD_0011,4,8.51,0.00,34.04,20.74,13.30,Debit Card,Returning
100149,2024-01-04,12:52:00,12,STR_002,PRD_0047,2,5.48,0.00,10.96,7.67,3.29,Credit Card,Returning
100150,2024-01-04,19:48:00,19,STR_005,PRD_0041,1,6.52,0.10,5.87,3.43,2.44,Debit Card,Returning
100151,2024-01-04,13:08:00,13,STR_004,PRD_0028,3,6.33,0.00,18.99,12.69,6.30,Credit Card,Returning
100152,2024-01-04,11:04:00,11,STR_005,PRD_0036,1,4.57,0.10,4.11,2.57,1.54,Mobile Wallet,New
100153,2024-01-04,20:49:00,20,STR_003,PRD_0033,1,4.86,0.10,4.37,2.50,1.87,Credit Card,New
100154,2024-01-04,21:17:00,21,STR_003,PRD_0016,4,7.00,0.05,26.60,18.56,8.04,Debit Card,Returning
100155,2024-01-04,13:04:00,13,STR_002,PRD_0047,4,6.04,0.05,22.95,12.65,10.30,Credit Card,Returning
100156,2024-01-04,08:33:00,8,STR_004,PRD_0052,4,6.78,0.00,27.12,16.35,10.77,Credit Card,Returning
100157,2024-01-04,16:32:00,16,STR_004,PRD_0055,2,9.34,0.00,18.68,11.68,7.00,Credit Card,Returning
100158,2024-01-04,08:24:00,8,STR_004,PRD_0053,2,5.61,0.00,11.22,6.58,4.64,Credit Card,New
100159,2024-01-04,08:04:00,8,STR_004,PRD_0042,1,5.82,0.05,5.53,3.32,2.21,Mobile Wallet,Returning
100160,2024-01-04,08:40:00,8,STR_003,PRD_0005,4,4.94,0.00,19.76,11.12,8.64,Credit Card,New
100161,2024-01-04,08:23:00,8,STR_001,PRD_0006,3,3.07,0.05,8.75,4.94,3.81,Credit Card,New
100162,2024-01-04,16:43:00,16,STR_001,PRD_0042,1,6.04,0.00,6.04,3.41,2.63,Credit Card,Returning
100163,2024-01-04,16:43:00,16,STR_006,PRD_0033,3,4.91,0.10,13.26,8.18,5.08,Credit Card,Returning
100164,2024-01-04,09:39:00,9,STR_005,PRD_0052,4,5.38,0.00,21.52,12.55,8.97,Mobile Wallet,New
100165,2024-01-04,10:26:00,10,STR_004,PRD_0053,2,6.55,0.00,13.10,7.81,5.29,Mobile Wallet,Returning
100166,2024-01-04,15:21:00,15,STR_004,PRD_0029,3,6.73,0.00,20.19,13.89,6.30,Mobile Wallet,Returning
100167,2024-01-04,10:02:00,10,STR_005,PRD_0008,4,4.67,0.00,18.68,12.59,6.09,Credit Card,Returning
100168,2024-01-04,07:23:00,7,STR_004,PRD_0054,1,7.14,0.00,7.14,4.18,2.96,Debit Card,Returning
100169,2024-01-04,19:21:00,19,STR_004,PRD_0048,3,6.61,0.00,19.83,12.89,6.94,Credit Card,Returning
100170,2024-01-05,13:46:00,13,STR_003,PRD_0054,3,6.47,0.00,19.41,11.28,8.13,Credit Card,New
100171,2024-01-05,17:59:00,17,STR_004,PRD_0041,1,6.29,0.05,5.98,3.36,2.62,Credit Card,New
100172,2024-01-05,15:39:00,15,STR_004,PRD_0048,3,6.80,0.00,20.40,13.17,7.23,Credit Card,Returning
100173,2024-01-05,16:22:00,16,STR_005,PRD_0004,4,4.50,0.00,18.00,10.69,7.31,Debit Card,New
100174,2024-01-05,19:35:00,19,STR_005,PRD_0047,2,6.80,0.00,13.60,9.01,4.59,Credit Card,Returning
100175,2024-01-05,09:09:00,9,STR_004,PRD_0004,2,3.19,0.00,6.38,3.61,2.77,Debit Card,New
100176,2024-01-05,08:00:00,8,STR_006,PRD_0005,3,3.68,0.00,11.04,6.71,4.33,Debit Card,Returning
100177,2024-01-05,13:10:00,13,STR_004,PRD_0053,2,7.14,0.00,14.28,8.36,5.92,Cash,Returning
100178,2024-01-05,13:15:00,13,STR_001,PRD_0045,4,6.14,0.00,24.56,16.99,7.57,Cash,New
100179,2024-01-05,07:00:00,7,STR_001,PRD_0028,3,5.41,0.00,16.23,9.50,6.73,Debit Card,New
100180,2024-01-05,16:59:00,16,STR_004,PRD_0039,3,3.95,0.00,11.85,8.07,3.78,Credit Card,New
100181,2024-01-05,12:38:00,12,STR_006,PRD_0054,3,5.66,0.05,16.13,9.72,6.41,Cash,New
100182,2024-01-05,07:17:00,7,STR_004,PRD_0009,4,5.43,0.00,21.72,12.15,9.57,Debit Card,New
100183,2024-01-05,14:06:00,14,STR_006,PRD_0057,4,8.09,0.00,32.36,18.19,14.17,Credit Card,Returning
100184,2024-01-05,13:12:00,13,STR_004,PRD_0003,1,5.52,0.00,5.52,3.59,1.93,Debit Card,Returning
100185,2024-01-05,08:38:00,8,STR_004,PRD_0015,1,5.32,0.00,5.32,3.42,1.90,Credit Card,Returning
100186,2024-01-05,15:24:00,15,STR_005,PRD_0045,2,5.16,0.00,10.32,6.07,4.25,Mobile Wallet,Returning
100187,2024-01-05,20:09:00,20,STR_002,PRD_0046,2,6.81,0.00,13.62,8.11,5.51,Debit Card,New
100188,2024-01-05,15:56:00,15,STR_004,PRD_0032,1,4.95,0.00,4.95,3.26,1.69,Credit Card,Returning
100189,2024-01-05,08:05:00,8,STR_003,PRD_0023,1,5.30,0.00,5.30,2.98,2.32,Cash,New
100190,2024-01-05,13:31:00,13,STR_004,PRD_0028,4,6.00,0.10,21.60,13.19,8.41,Credit Card,Returning
100191,2024-01-05,14:27:00,14,STR_004,PRD_0043,1,5.39,0.00,5.39,3.50,1.89,Cash,Returning
100192,2024-01-05,07:59:00,7,STR_004,PRD_0020,4,5.69,0.05,21.62,12.21,9.41,Credit Card,Returning
100193,2024-01-05,14:03:00,14,STR_004,PRD_0044,3,5.98,0.00,17.94,11.24,6.70,Credit Card,Returning
100194,2024-01-05,09:34:00,9,STR_003,PRD_0003,4,6.50,0.00,26.00,15.09,10.91,Cash,New
100195,2024-01-05,14:04:00,14,STR_002,PRD_0019,1,6.17,0.00,6.17,3.81,2.36,Credit Card,Returning
100196,2024-01-05,13:08:00,13,STR_003,PRD_0020,2,4.71,0.05,8.95,5.27,3.68,Cash,Returning
100197,2024-01-05,16:38:00,16,STR_004,PRD_0007,2,4.34,0.00,8.68,5.57,3.11,Credit Card,New
100198,2024-01-05,21:23:00,21,STR_001,PRD_0047,2,5.54,0.05,10.53,6.55,3.98,Credit Card,Returning
100199,2024-01-05,16:30:00,16,STR_001,PRD_0053,2,5.94,0.00,11.88,7.40,4.48,Credit Card,Returning
100200,2024-01-05,14:58:00,14,STR_002,PRD_0003,1,5.29,0.00,5.29,3.59,1.70,Mobile Wallet,New
100201,2024-01-05,09:58:00,9,STR_004,PRD_0056,4,8.47,0.00,33.88,20.15,13.73,Debit Card,Returning
100202,2024-01-05,15:11:00,15,STR_005,PRD_0001,2,5.72,0.05,10.87,6.10,4.77,Cash,New
100203,2024-01-05,18:48:00,18,STR_004,PRD_0038,2,4.30,0.00,8.60,5.13,3.47,Mobile Wallet,New
100204,2024-01-05,17:36:00,17,STR_005,PRD_0048,2,5.62,0.10,10.12,6.01,4.11,Credit Card,New
100205,2024-01-05,11:47:00,11,STR_003,PRD_0041,3,6.93,0.05,19.75,13.67,6.08,Credit Card,Returning
100206,2024-01-05,09:30:00,9,STR_004,PRD_0054,1,7.04,0.00,7.04,4.74,2.30,Cash,Returning
100207,2024-01-05,19:37:00,19,STR_004,PRD_0032,4,5.15,0.00,20.60,11.94,8.66,Credit Card,Returning
100208,2024-01-05,10:39:00,10,STR_002,PRD_0001,4,5.36,0.00,21.44,13.53,7.91,Credit Card,New
100209,2024-01-05,09:09:00,9,STR_001,PRD_0014,4,6.51,0.00,26.04,16.21,9.83,Credit Card,Returning
100210,2024-01-05,08:18:00,8,STR_004,PRD_0047,3,5.92,0.00,17.76,11.08,6.68,Credit Card,New
100211,2024-01-05,10:17:00,10,STR_003,PRD_0053,3,6.99,0.00,20.97,14.56,6.41,Debit Card,Returning
100212,2024-01-05,21:06:00,21,STR_003,PRD_0047,4,6.82,0.00,27.28,18.62,8.66,Debit Card,Returning
100213,2024-01-05,06:50:00,6,STR_005,PRD_0051,2,3.31,0.00,6.62,4.37,2.25,Credit Card,New
100214,2024-01-05,21:59:00,21,STR_002,PRD_0046,4,6.96,0.05,26.45,17.63,8.82,Credit Card,Returning
100215,2024-01-05,15:14:00,15,STR_006,PRD_0011,2,8.50,0.00,17.00,10.30,6.70,Credit Card,Returning
100216,2024-01-05,18:06:00,18,STR_006,PRD_0053,1,6.88,0.00,6.88,4.25,2.63,Cash,Returning
100217,2024-01-05,10:26:00,10,STR_006,PRD_0041,1,5.53,0.00,5.53,3.62,1.91,Cash,Returning
100218,2024-01-05,15:59:00,15,STR_004,PRD_0054,4,6.79,0.00,27.16,16.63,10.53,Cash,Returning
100219,2024-01-05,14:17:00,14,STR_005,PRD_0002,4,6.92,0.00,27.68,16.92,10.76,Debit Card,Returning
100220,2024-01-05,15:45:00,15,STR_004,PRD_0026,3,8.29,0.00,24.87,16.50,8.37,Credit Card,New
100221,2024-01-06,15:39:00,15,STR_001,PRD_0053,3,5.96,0.00,17.88,10.71,7.17,Credit Card,New
100222,2024-01-06,11:05:00,11,STR_004,PRD_0051,1,4.52,0.00,4.52,3.05,1.47,Debit Card,Returning
100223,2024-01-06,13:26:00,13,STR_004,PRD_0034,2,4.13,0.00,8.26,5.47,2.79,Debit Card,New
100224,2024-01-06,10:27:00,10,STR_003,PRD_0030,1,6.41,0.00,6.41,3.83,2.58,Credit Card,Returning
100225,2024-01-06,11:57:00,11,STR_005,PRD_0053,4,6.40,0.00,25.60,14.89,10.71,Credit Card,New
